uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:6rQPtpH1N47hdFFURFS9Ui,0.409,0.504,-5.62,0.0448,0.76,0.0,0.344,0.499,169.244
spotify:track:0udOCZp7yk0Ml92C0k8H8D,0.583,0.499,-10.086,0.0261,0.591,0.0104,0.33,0.342,155.199
spotify:track:26G5nmIx7Yvq79bIIluyZV,0.762,0.054,-16.735,0.0503,0.947,0.0,0.124,0.339,96.838
spotify:track:3X4sErWRnQCmhhZMGv6r51,0.764,0.296,-14.544,0.269,0.923,0.00141,0.168,0.231,103.075
spotify:track:0K4gxQ2u3545b0GAu85ObO,0.685,0.23,-12.525,0.0388,0.367,0.000971,0.101,0.0417,96.085
spotify:track:136K7vs8qhkpWfKmculLG3,0.661,0.498,-7.187,0.0369,0.439,0.00147,0.398,0.385,80.019
spotify:track:3vzbNQi4mQ9tmvroysU2f3,0.801,0.545,-6.686,0.0888,0.248,0.0,0.136,0.269,129.966
spotify:track:32w1eGLgwvt8xeqL6Jz4M4,0.783,0.464,-11.436,0.33,0.0264,0.0,0.0964,0.169,122.093
spotify:track:50HURWGNsCiJw4qFDQu40X,0.59,0.443,-11.408,0.0466,0.726,6.11e-06,0.387,0.198,120.025
spotify:track:0gMR1l2yDd8yWBNK7LueIP,0.465,0.253,-13.976,0.0365,0.762,0.000177,0.155,0.341,91.922
spotify:track:0sFqD0Mxcv3QLVyrWEddJ0,0.707,0.334,-15.185,0.0907,0.628,0.135,0.157,0.103,127.973
spotify:track:2tB9EXMGGzvRdxxwyzIJCC,0.789,0.685,-10.596,0.914,0.635,0.0,0.0843,0.533,160.04
spotify:track:4dVuFGF1wtadsaXVnXJBch,0.634,0.571,-12.203,0.205,0.974,0.00309,0.0897,0.172,115.736
spotify:track:7KcawTxc7mb2ss0FZxxqHb,0.548,0.171,-21.345,0.12,0.972,0.644,0.0928,0.238,140.165
spotify:track:15V3N9RElA9VadaaPkdz49,0.534,0.369,-14.094,0.306,0.55,0.0,0.299,0.187,180.313
spotify:track:3p8iG863bPsafyReUXaqXO,0.697,0.354,-15.064,0.206,0.892,2.48e-06,0.0539,0.575,78.007
spotify:track:6hbK9zJUAlB5PYL15SzKtB,0.634,0.32,-9.514,0.093,0.911,0.000159,0.0859,0.41,79.931
spotify:track:5RZt3aBokyH2EEqWBef7uS,0.74,0.199,-8.575,0.0366,0.835,2.05e-06,0.116,0.486,75.013
spotify:track:472xLB8toqZr8oSBXaQRr2,0.636,0.277,-15.979,0.119,0.463,0.889,0.122,0.375,171.144
spotify:track:7sASDYDxbvvzgJj4YHLf6U,0.66,0.474,-11.806,0.11,0.59,0.0179,0.185,0.552,160.904
spotify:track:0LMUarEf8irimgZACdEGju,0.844,0.23,-11.395,0.0966,0.602,0.00884,0.353,0.37,119.028
spotify:track:4rvB7ztrX4I8Ca9XTqIzD2,0.707,0.461,-10.5,0.453,0.743,0.0,0.0986,0.361,80.272
spotify:track:5ZFDe85SjknlaOXEF3f2zc,0.824,0.403,-16.153,0.168,0.548,0.0677,0.274,0.398,110.067
spotify:track:0CvaOecRnYE1fyErhpXgbK,0.686,0.195,-15.136,0.151,0.841,0.00109,0.0816,0.129,105.99
spotify:track:7zw4mZ56t9A4aMHDltWIci,0.511,0.387,-15.841,0.585,0.761,0.0,0.157,0.673,182.1
spotify:track:4gbd1tCZifxxMvZ7hzn9rl,0.463,0.332,-12.558,0.144,0.479,0.000624,0.112,0.379,159.928
spotify:track:0AFmxuY039QJ7aNIeAID6N,0.831,0.458,-10.59,0.238,0.668,0.0,0.226,0.618,98.512
spotify:track:3Q0KfYjbdYOskCP40UGMbi,0.683,0.321,-17.805,0.0598,0.868,0.0177,0.142,0.207,105.951
spotify:track:69ePYRzwQIVynhGb2R0GAm,0.518,0.623,-8.936,0.424,0.633,0.0,0.103,0.236,81.99
spotify:track:3xNIVmBIe839tAsoGe3A4b,0.706,0.297,-13.652,0.132,0.468,0.0,0.0725,0.123,104.049
spotify:track:5qiSzhwTxVWtvgqwANXXoP,0.725,0.398,-13.445,0.0754,0.525,0.000326,0.112,0.148,130.051
spotify:track:6fee735D9oJHuz9k3tp215,0.67,0.462,-8.3,0.274,0.722,8.52e-06,0.0785,0.218,94.753
spotify:track:2ZpkUn9s1jgKGxsPWnbtMq,0.71,0.394,-9.959,0.0368,0.846,2.35e-06,0.11,0.198,120.145
spotify:track:1kgBjOVovmBIZSjx8JPr8E,0.745,0.41,-12.736,0.367,0.762,0.0,0.0833,0.579,140.156
spotify:track:5Z1U0knfYnsfvZycgDeOiC,0.762,0.387,-8.643,0.0277,0.239,0.00756,0.13,0.273,109.959
spotify:track:4vxkeaDlicwTlHHKKNm12r,0.633,0.175,-21.062,0.325,0.865,0.0677,0.496,0.58,94.451
spotify:track:57HrW0sdbZTTa6lSY3pxGc,0.587,0.405,-10.981,0.551,0.704,0.0,0.127,0.217,89.532
spotify:track:0NwT9AphLlcFhE9Qn2mECw,0.66,0.288,-15.529,0.128,0.461,0.861,0.147,0.305,172.031
spotify:track:35Ce1VwdAshQ7IcfL5AXnI,0.762,0.142,-18.249,0.0483,0.473,0.539,0.122,0.0384,110.142
spotify:track:4EfcBQEzf6D3h2VrLD4tsX,0.826,0.26,-15.202,0.168,0.538,0.0,0.0898,0.245,110.079
spotify:track:4nSCAQB1tpR7o22PQensnZ,0.77,0.395,-9.695,0.0419,0.0612,0.13,0.0992,0.183,103.507
spotify:track:3AJwUDP919kvQ9QcozQPxg,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372
spotify:track:5O6QAX1oI4iktfXP8HAmgi,0.548,0.341,-11.667,0.397,0.708,0.0,0.121,0.34,71.573
spotify:track:2KX7ZC9JL8BAeFnCrcVRHE,0.387,0.375,-9.172,0.273,0.822,0.000154,0.109,0.418,73.045
spotify:track:3MTKlYd9dUYFq4zJrC5guy,0.778,0.153,-17.373,0.0601,0.932,9.98e-05,0.152,0.0887,112.216
spotify:track:63Rg6WrtsD26acXip6G7t1,0.585,0.269,-10.474,0.0354,0.894,6.99e-05,0.229,0.0996,140.389
spotify:track:1j1grC3HUOkKTQ8gqK8wKg,0.649,0.213,-12.285,0.0731,0.873,0.765,0.104,0.0957,133.985
spotify:track:66OM8rMMgHDpoY7A2gYVsk,0.762,0.115,-14.295,0.0994,0.929,3.96e-05,0.0825,0.483,90.113
spotify:track:1DoECePnMuLtpLQSCZqwtK,0.652,0.483,-9.964,0.291,0.658,0.0,0.393,0.372,75.987
spotify:track:2wm19d0EnlhK2FNtm1YhMM,0.52,0.354,-18.189,0.425,0.901,0.00632,0.136,0.244,158.146
spotify:track:5Ewah7EFhLXe7XFKZafONh,0.61,0.2,-17.461,0.054,0.917,7.06e-05,0.508,0.0606,122.874
spotify:track:7sTDqaGUr9NM8NHQ5SNHi1,0.621,0.108,-15.399,0.0493,0.968,1.67e-05,0.137,0.204,129.285
spotify:track:0yTGQpPOgcsS8Xqp5bQO58,0.748,0.297,-10.613,0.132,0.485,0.27,0.138,0.114,123.983
spotify:track:57nOpVSc3j9o03Cr928ZM4,0.639,0.312,-9.902,0.0301,0.774,0.469,0.0857,0.347,103.369
spotify:track:01TnVDiet1DFTsyWKUKovl,0.414,0.416,-8.024,0.0251,0.1,0.179,0.131,0.196,159.91
spotify:track:5xbrhx2tMMcN68IT3cJbhS,0.57,0.285,-14.125,0.0381,0.737,0.0133,0.108,0.0973,83.485
spotify:track:05bnEv2dpFzmGVLGdjD9UP,0.57,0.0279,-22.282,0.0588,0.859,0.0892,0.254,0.28,84.902
spotify:track:2UwbhMie1EAYuTZ0QXeMwl,0.731,0.204,-11.314,0.0369,0.307,0.0109,0.0989,0.191,142.141
spotify:track:2vQwlW8H1jFveGNXwZfJCV,0.461,0.0279,-21.992,0.0412,0.973,0.00226,0.169,0.354,88.388
spotify:track:16x9bQHw8TBNaGDyULvwad,0.356,0.143,-15.148,0.0388,0.976,1.89e-05,0.111,0.334,75.522
spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,0.746,0.251,-16.169,0.259,0.782,0.00203,0.106,0.18,139.999
spotify:track:1Znlc3UZAbSodFaMBjdpsX,0.746,0.338,-13.472,0.109,0.674,0.000375,0.529,0.469,120.053
spotify:track:0rH0mprtecH3grD9HFM5AD,0.572,0.685,-7.29,0.0356,0.0291,0.0,0.0963,0.232,110.698
