uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:6WX68Y7z07oQlz3VolcGXP,0.751,0.608,-5.032,0.266,0.35,0.0,0.171,0.578,128.024
spotify:track:76VMxbmR6IJo8bPVvaQaF4,0.783,0.861,-4.156,0.036,0.18,1.1e-05,0.0628,0.693,106.972
spotify:track:1zaJP6bRuGYBnSaZ7ad22D,0.828,0.636,-5.78,0.0427,0.0397,1.92e-06,0.102,0.588,100.006
spotify:track:5E6YIdUMaGNxfyLjmutMKn,0.894,0.489,-8.536,0.0874,0.283,1.97e-05,0.085,0.777,116.004
spotify:track:7ztlf9mCrjoLXAYYf0LCYx,0.732,0.6,-6.127,0.0535,0.0307,8.25e-05,0.137,0.238,131.912
spotify:track:4fJCpN7FSKLMt22aKQxSuJ,0.847,0.713,-6.267,0.275,0.188,0.0,0.0821,0.686,97.021
spotify:track:19zsSUEuJNzNA6eqInqyF9,0.698,0.497,-6.606,0.0825,0.502,0.0,0.0918,0.646,124.942
spotify:track:3Vj2e5TvjUTIWZHoz3wWOm,0.614,0.729,-4.617,0.0583,0.173,0.0,0.173,0.837,89.975
spotify:track:71vXgkxUvxRrqbyQM15nEO,0.801,0.688,-5.696,0.0802,0.393,0.0,0.067,0.482,107.991
spotify:track:7jLvgYw7NcFi7kQz1RBABd,0.875,0.855,-4.561,0.242,0.137,0.0,0.111,0.874,117.998
spotify:track:6Ujcy9lBpqQSmcZ2UtZzoy,0.779,0.471,-4.614,0.0288,0.648,2.23e-05,0.109,0.609,101.923
spotify:track:6pm3SR1vvrV54AOJWsN7y7,0.738,0.498,-6.373,0.155,0.237,0.0,0.164,0.809,95.042
spotify:track:5LJeHjBzI0zv9M6bCGcXh1,0.572,0.559,-8.012,0.042,0.801,0.000288,0.257,0.426,131.002
spotify:track:04BNdY6uUomT20VbVlMA0M,0.657,0.839,-3.872,0.115,0.701,0.0,0.314,0.864,149.956
