uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:6D4cSi46NQJ4Ucq7IVHG02,0.703,0.886,-4.136,0.0587,0.0274,0.0,0.0639,0.818,102.041
spotify:track:6EJqBzSriXE0sCUGIzn1mF,0.413,0.712,-5.024,0.0529,0.0163,0.000402,0.107,0.491,180.003
spotify:track:6OIcJNAIx0CeV6qwOSt4t3,0.586,0.833,-5.201,0.0403,0.0206,0.0,0.175,0.896,92.982
spotify:track:3eT5vVn1580Wijs5qXo6NA,0.52,0.851,-4.781,0.0434,0.0493,1.37e-05,0.269,0.341,161.96
spotify:track:2MHCiOohBZEQuLgDTPvSzF,0.562,0.906,-2.085,0.0758,0.105,0.0,0.145,0.674,124.146
spotify:track:4NqXVYH2nnUuBaOYCl07v4,0.57,0.835,-3.536,0.034,0.000366,8.96e-05,0.276,0.558,111.945
spotify:track:7ggOV9TQuzCptmnO7StKyd,0.841,0.826,-5.131,0.0666,0.00633,0.00299,0.0224,0.982,138.043
spotify:track:2zbieHSRqKWb4Qj4Kcva6Q,0.756,0.792,-4.015,0.0366,0.0166,0.0077,0.108,0.207,99.993
spotify:track:067eQlibGkX1kAhZjCbGTV,0.658,0.895,-4.327,0.042,0.000369,0.0718,0.116,0.843,121.985
spotify:track:5iHjEXaeSCPgoClfffGzDo,0.529,0.882,-4.117,0.0578,0.00239,0.0,0.364,0.753,145.882
spotify:track:00Gea8cfk0ECPm2Sd2cfqg,0.713,0.902,-4.937,0.0427,0.00776,0.0018,0.0515,0.96,134.884
spotify:track:41cxe6eOzzQS6odQk6fNdp,0.453,0.914,-3.445,0.0825,0.0018,0.0,0.349,0.504,129.841
spotify:track:1KWBzQPS07tyitA4o8V7XW,0.719,0.927,-3.882,0.108,0.075,0.000984,0.0342,0.849,89.999
spotify:track:0Tr5G2mE56eLUGvCaXRM8I,0.378,0.925,-3.781,0.185,0.0234,0.00062,0.18,0.584,108.525
spotify:track:0aersVHlGGXcHeRvHtuaSt,0.564,0.945,-4.705,0.0493,0.0189,0.0,0.359,0.399,101.003
spotify:track:6TGQYJzWx0IJrzK41mvSFG,0.774,0.91,-2.456,0.0722,0.053,9.67e-06,0.095,0.881,120.02
spotify:track:20hqhDsM5hfIq0M75Sw24N,0.629,0.94,-4.631,0.0446,0.00129,1.44e-06,0.0965,0.748,129.964
spotify:track:7wlUU1sJ9Md89P1xgLyUGV,0.667,0.622,-5.294,0.0826,0.551,0.0,0.473,0.611,76.471
spotify:track:5kRBzRZmZTXVg8okC7SJFZ,0.588,0.742,-6.757,0.0528,0.0162,3.98e-06,0.653,0.824,125.819
spotify:track:6b8Be6ljOzmkOmFslEb23P,0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97
spotify:track:5XMkENs3GfeRza8MfVAhjK,0.741,0.798,-5.342,0.0718,0.00781,0.0,0.0232,0.939,104.953
spotify:track:5Fwif6oyL2EjXAFTGL909U,0.506,0.701,-8.434,0.0483,0.606,0.0,0.196,0.901,91.664
